listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190035,"Apple Cell Phones - iPhone 11, 64GB - 125 Units - Grade B+(T) - AT034372","$22,701",7 bidders,"Apr 2, 2024 10:28:04 AM PDT",125.0,181.61,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4616.jpg,AT034372,Grade B+(T),"IPH 11X, IPH 11",64GB,"black, purple, red, green, yellow, Black, white","S167C, U154C, A167C, A826C, A827C, A828C, S154C, U091D, S827C, A140C, S126C, D153C, S831C, J826C, U136C, U827C, A830C, S828C, S829C, S153C, A091D, A829C, A153C, J091D, S826C, A831C, S830C, S136C",iPhone 11,64GB,iPhone 11 64GB
190312,Apple Cell Phones - iPhone 11 - 77 Units - Grade B+(T) - CT0058762A,"$13,536",13 bidders,"Apr 4, 2024 10:45:33 AM PDT",77.0,175.79,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4618.jpg,CT0058762A,Grade B+(T),"IPHN 11, IPH 11","64GB, 256GB, 128GB","PUR, YEL, BLK, RED, GRN, WHT","J161C, A156C, A837C, A826C, A827C, A828C, U140C, A152C, J138C, J159C, A831C, J145C, E830C, A138C, J130C, S145C, J152C, E833C, J136C, J140C, J153C, S153C, J154C, J832C, J827C, J836C, J134C, S826C, A136C, J135C, J840C, U145C, J826C, J167C",iPhone 11,64GB,iPhone 11 64GB
190516,"Apple Cell Phones - iPhone 11, 64GB - 100 Units - Grade B+(T) - AT034709","$18,750",11 bidders,"Apr 9, 2024 10:20:01 AM PDT",100.0,187.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4621.jpg,AT034709,Grade B+(T),"IPH 11X, IPH 11",64GB,"black, purple, red, green, yellow, Black, white","S167C, A167C, A826C, A827C, A828C, U140C, S154C, U091D, S827C, A140C, D153C, E153C, A830C, S153C, E826C, A091D, A153C, S826C, A126C, U153C, A154C, A831C, S830C",iPhone 11,64GB,iPhone 11 64GB
191003,"Apple Cell Phones - iPhone 11, 64GB - 52 Units - Grade B+(T) - CT0059079A","$8,188",7 bidders,"Apr 11, 2024 10:43:32 AM PDT",52.0,157.46,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4626.jpg,CT0059079A,Grade B+(T),"IPHN 11, IPH 11",64GB,"PUR, BLK, RED, GRN, YEL, WHT","J830C, A167C, A827C, S154C, J826C, U827C, A830C, J140C, J153C, S153C, J154C, A091D, A829C, A126C, A136C, A154C, J831C, A831C, J167C, J828C",iPhone 11,64GB,iPhone 11 64GB
191318,Apple Cell Phones - iPhone 11 - 50 Units - Grade B+(T) - AT034992,"$9,500",5 bidders,"Apr 16, 2024 10:15:36 AM PDT",50.0,190.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4628.jpg,AT034992,Grade B+(T),"IPH 11X, IPH 11","64GB, 128GB","black, purple, red, green, yellow, white","S130C, A134C, S150C, S827C, J134C, A830C, S152C, A826C, A130C, A827C, A150C, S138C, U091D, A138C, A829C, A152C, S134C",iPhone 11,64GB,iPhone 11 64GB
205664,Apple Cell Phones - iPhone 11 - 60 Units - Grade B+(T) - CT0066907A,"$11,550",10 bidders,"Sep 12, 2024 10:41:11 AM PDT",60.0,192.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4758.jpg,CT0066907A,Grade B+(T),"IPHN 11, IPH 11","64GB, 256GB, 128GB","PUR, BLK, YEL, RED, GRN, WHT","J161C, J830C, A827C, J150C, J138C, J159C, E832C, J145C, J130C, S831C, J152C, J826C, J136C, J153C, J154C, J833C, J827C, J832C, A153C, J134C, A842C, S152C, U152C, A831C, J837C",iPhone 11,64GB,iPhone 11 64GB
206537,"Apple Cell Phones - iPhone 11, 64GB - 50 Units - Grade B+(T) - AT041201","$8,555",13 bidders,"Sep 24, 2024 10:18:33 AM PDT",50.0,171.1,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4764.jpg,AT041201,Grade B+(T),IPH 11X,64GB,"black, red, white, purple","S827C, S826C, A830C, A826C, A828C, U091D",iPhone 11,64GB,iPhone 11 64GB
212766,"Apple Cell Phones - iPhone 11, 64GB - 22 Units - Grade B+(T) - AT044073","$3,765",9 bidders,"Nov 26, 2024 11:10:12 AM PDT",22.0,171.14,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4815.jpg,AT044073,Grade B+(T),IPH 11X,64GB,"black, red, white, purple","D826C, S826C, J830C, S828C, A826C, A827C, A828C, U091D",iPhone 11,64GB,iPhone 11 64GB
213469,"Apple Cell Phones - iPhone 11, 64GB - 50 Units - Grade B+(T) - AT044303","$8,250",8 bidders,"Dec 3, 2024 11:31:16 AM PDT",50.0,165.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4822.jpg,AT044303,Grade B+(T),"IPH 11X, IPH 11",64GB,"black, purple, red, green, yellow, Black, white","S167C, A826C, A827C, U140C, S154C, U091D, S126C, D153C, E153C, U136C, A830C, S153C, S140C, E154C, A091D, A153C, S826C, A154C, S136C",iPhone 11,64GB,iPhone 11 64GB
213827,Apple Cell Phones - iPhone 11 - 44 Units - Grade B+(T) - CT0071217A,"$7,850",12 bidders,"Dec 5, 2024 11:22:53 AM PDT",44.0,178.41,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4824.jpg,CT0071217A,Grade B+(T),"IPHN 11, IPH 11","64GB, 256GB, 128GB","PUR, BLK, RED, GRN, WHT","J134C, J159C, J152C, J136C, S152C, J140C, J153C, A826C, J154C, J156C, J145C, J836C, J827C, J831C, J826C, J167C, J837C",iPhone 11,64GB,iPhone 11 64GB
221600,Apple Cell Phones - iPhone 11 - 73 Units - Grade B+(T) - CT0075024A,"$11,650",9 bidders,"Feb 27, 2025 12:07:50 PM PDT",73.0,159.59,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4882.jpg,CT0075024A,Grade B+(T),IPH 11,"64GB, 256GB, 128GB","PUR, BLK, RED, GRN, WHT","J830C, S154C, J138C, J159C, J145C, J130C, J160C, J152C, J136C, J338C, S135C, J153C, S153C, J154C, J832C, J836C, J827C, J134C, S826C, J135C, J834C, J831C, J826C, J167C, J837C, S830C, J828C, S136C",iPhone 11,64GB,iPhone 11 64GB
221609,Apple Cell Phones - iPhone 11 - 75 Units - Grade B(T) - CT0075021A,"$9,525",9 bidders,"Feb 27, 2025 11:52:36 AM PDT",75.0,127.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4882.jpg,CT0075021A,Grade B(T),IPH 11,"64GB, 256GB, 128GB","PUR, BLK, YEL, RED, GRN, WHT","J830C, J150C, J138C, J159C, J156C, J843C, J145C, J130C, S145C, J152C, J136C, J153C, S153C, J154C, J836C, J827C, J134C, S826C, S152C, J135C, J127C, J831C, J826C, J167C, J837C, J828C",iPhone 11,64GB,iPhone 11 64GB
