listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
191016,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 53 Units - Grade B+(T) - CT0059076A","$40,101",11 bidders,"Apr 11, 2024 11:13:37 AM PDT",53.0,756.62,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_708.jpg,CT0059076A,Grade B+(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, J540D, J541D, E539D, J539D, A540D, J542D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
212770,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 50 Units - Grade A+(T) - AT044141","$29,800",5 bidders,"Nov 26, 2024 10:18:14 AM PDT",50.0,596.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_935.jpg,AT044141,Grade A+(T),IPH 14PM,1TB,"Purple, Black, Silver, Gold","A542D, A539D, E539D, S542D, A540D, S539D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
214207,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 110 Units - Grade B+(T) - CT0071448A","$60,325",6 bidders,"Dec 12, 2024 10:16:01 AM PDT",110.0,548.41,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_950.jpg,CT0071448A,Grade B+(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, S541D, J540D, J541D, E539D, S542D, E540D, J539D, E542D, A540D, J542D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
213821,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 77 Units - Grade B+(T) - CT0071130A","$43,694",6 bidders,"Dec 5, 2024 9:55:31 AM PDT",77.0,567.45,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_945.jpg,CT0071130A,Grade B+(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, E541D, J541D, E539D, A541D, S542D, J539D, S539D, J542D, A540D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
220710,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 155 Units - Grade C(T) - CT0074497A","$69,284",4 bidders,"Feb 20, 2025 10:54:49 AM PDT",155.0,446.99,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_1019.jpg,CT0074497A,Grade C(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, U539D, E541D, S541D, J540D, J541D, E539D, S542D, E540D, J539D, E542D, S540D, A540D, S539D, J542D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
220941,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 60 Units - Grade A+(T) - CT0074549A","$35,680",2 bidders,"Feb 20, 2025 10:32:51 AM PDT",60.0,594.67,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_1021.jpg,CT0074549A,Grade A+(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, J540D, S540D, J539D, A540D, S539D, J542D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
229216,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 158 Units - Grade C(T) - CT0078623A","$67,940",3 bidders,"May 22, 2025 7:52:09 AM PDT",158.0,430.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_1102.jpg,CT0078623A,Grade C(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, E541D, J540D, J541D, E539D, A541D, E540D, J539D, E542D, S539D, J542D, A540D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
228732,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 65 Units - Grade C(T) - CT0078384A","$28,898",4 bidders,"May 15, 2025 10:39:50 AM PDT",65.0,444.58,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_1097.jpg,CT0078384A,Grade C(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, E541D, J540D, J541D, E539D, E540D, J539D, E542D, S539D, J542D, A540D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
195933,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 18 Units - Grade B+(T) - CT0061844A","$13,501",8 bidders,"May 30, 2024 10:09:50 AM PDT",18.0,750.06,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_762.jpg,CT0061844A,Grade B+(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, J541D, J539D, J542D, A540D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
197338,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 25 Units - Grade B+(T) - AT037571","$19,075",6 bidders,"Jun 18, 2024 9:52:43 AM PDT",25.0,763.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_775.jpg,AT037571,Grade B+(T),IPH 14PM,1TB,"Purple, Black, Gold, Silver","A542D, A539D, A541D, S542D, S539D, J542D, A540D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
200004,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 38 Units - Grade B+(T) - CT0063996A","$29,008",5 bidders,"Jul 18, 2024 9:42:36 AM PDT",38.0,763.37,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_803.jpg,CT0063996A,Grade B+(T),IPH 14PM,1TB,"GLD, PUR, SLV, BLK","A542D, A539D, J540D, J541D, E539D, J539D, A540D, J542D, A541D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
200910,"Apple Cell Phones - iPhone 14 Pro Max, 1TB - 25 Units - Grade B+(T) - AT038763","$18,750",5 bidders,"Jul 30, 2024 9:37:26 AM PDT",25.0,750.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14promax_812.jpg,AT038763,Grade B+(T),IPH 14PM,1TB,"Purple, Black, Gold, Silver","A542D, A539D, U539D, A541D, S539D, A540D",iPhone 14 Pro Max,1TB,iPhone 14 Pro Max 1TB
